"Career, technical or professional training certificate"
"Business, management and public administration","2670","2920","3095","3200","3315","3320","3400","79800","78800","78600","77700","76500","73700","75600"
"Physical and life sciences and technologies","520","560","670","700","660","680","715","53500","54800","54000","54800","52000","53100","53200"
"Mathematics, computer and information sciences","560","580","675","755","835","835","895","66300","65700","68200","66500","67300","69100","72000"
"Architecture, engineering, and related technologies","1735","2215","2500","2760","3015","3375","3535","68000","68000","67300","65500","62400","59900","61500"
"Agriculture, natural resources and conservation","240","255","285","270","320","325","280","58800","56700","55600","58000","52600","54600","53200"
"Health and related fields","465","535","590","700","745","815","815","70300","70900","69100","65600","64800","65700","67300"
"Personal, protective and transportation services","-1","-1","-1","-1","-1","-1","-1","-1","67500","-1","74900","67400","82400","78500"
"Other instructional programs","-1","-1","-1","-1","-1","-1","-1","47700","52400","67200","58700","61800","62100","62600"
"Doctoral degree"
"Education","-1","-1","-1","-1","-1","-1","5","-1","-1","-1","-1","-1","-1","-1"
"Visual and performing arts, and communications technologies","-1","-1","-1","-1","-1","-1","-1","-1","35000","-1","-1","-1","44000","54500"
"Humanities","-1","-1","-1","-1","-1","-1","-1","45300","48300","45200","45200","47000","60900","51100"
"Social and behavioral sciences and law","145","170","150","165","185","175","180","80500","81600","66200","78600","73300","76800","73900"
"Business, management and public administration","-1","-1","-1","-1","-1","-1","-1","118900","103100","102800","102200","110900","93500","107900"
"Physical and life sciences and technologies","430","445","475","525","500","545","495","55000","53500","56100","54600","57600","56000","60800"
"Mathematics, computer and information sciences","145","140","125","135","140","165","165","75400","78800","73400","77100","80300","83500","88300"
"Architecture, engineering, and related technologies","390","405","425","550","590","640","630","83200","79400","78700","76600","73900","74500","75100"
"Agriculture, natural resources and conservation","-1","-1","-1","-1","-1","-1","-1","68300","58300","54900","44400","58400","48000","56500"
"Health and related fields","-1","-1","-1","110","105","-1","110","76700","72000","69300","71200","79400","69100","68400"
"Personal, protective and transportation services","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Other instructional programs","5","5","0","5","0","5","-1","-1","-1","-1","-1","-1","-1","-1"
